,Hours,Temp_ave
1,0.01658194436388889,18.2
2,0.03324722230555556,18.15
3,0.04991250008333334,18.45
4,0.0665777778611111,18.6
5,0.08324305561111112,18.8
6,0.0999083333888889,18.95
7,0.11657361116666667,19.25
8,0.13323888891666666,19.45
9,0.14990416669444445,19.55
10,0.16656944447222224,19.75
11,0.18323472225,19.85
12,0.1999,20.0
13,0.2165652777777778,20.1
14,0.23323055555555555,20.3
15,0.24989583330555556,20.4
16,0.26656111108333336,20.6
17,0.2832263888888889,20.75
18,0.2998916666666666,20.85
19,0.31655694444444443,20.95
20,0.3332222222222222,21.15
21,0.3498875,21.3
22,0.3665527777777777,21.4
23,0.38321805555555555,21.5
24,0.3998833333333333,21.5
25,0.41654861111111113,21.65
26,0.4332138888888889,21.85
27,0.44987916666666666,21.85
28,0.46654444444444443,22.0
29,0.48320972222222225,22.15
30,0.499875,22.25
31,0.5165402777777778,22.3
32,0.5332055555555556,22.45
33,0.5498708333333333,22.55
34,0.5665361111111111,22.7
35,0.583201388888889,22.75
36,0.5998666666666667,22.8
37,0.6165319444444444,22.95
38,0.6331972222222223,23.05
39,0.6498625,23.15
40,0.6666666666666666,23.3
41,0.6833333333333333,23.35
42,0.6999972222222222,23.4
43,0.7166625,23.5
44,0.7333277777777778,23.75
45,0.7499930555555555,23.75
46,0.7666583333333333,23.8
47,0.7833236111111112,23.85
48,0.7999888888888889,24.0
49,0.8166541666666667,24.1
50,0.8333194444444444,24.2
51,0.8499847222222223,24.25
52,0.86665,24.35
53,0.8833152777777777,24.5
54,0.8999805555555556,24.55
55,0.9166458333333334,24.7
56,0.9333111111111111,24.75
57,0.9499763888888889,24.8
58,0.9666416666666666,24.95
59,0.9833069444444446,25.0
60,0.9999722222222223,25.1
61,1.0166375,25.15
62,1.0333027777777777,25.25
63,1.0499680555555557,25.4
64,1.0666333333333333,25.4
65,1.0832986111111111,25.55
66,1.099963888888889,25.6
67,1.1166291666666666,25.7
68,1.1332944444444444,25.8
69,1.1499597222222222,25.85
70,1.166625,25.9
71,1.1832902777777778,25.95
72,1.1999555555555557,26.1
73,1.2166208333333333,26.1
74,1.233286111111111,26.2
75,1.249951388888889,26.35
76,1.2666166666666665,26.35
77,1.2832819444444443,26.5
78,1.2999472222222224,26.55
79,1.3166125000000002,26.55
80,1.3332777777777778,26.6
81,1.3499430555555556,26.75
82,1.3666083333333334,26.75
83,1.383273611111111,26.9
84,1.3999388888888888,27.0
85,1.4166041666666667,27.05
86,1.4332694444444445,27.1
87,1.4499347222222223,27.2
88,1.4666000000000001,27.35
89,1.4832652777777777,27.35
90,1.4999305555555555,27.45
91,1.5165958333333334,27.5
92,1.533261111111111,27.55
93,1.5499263888888888,27.6
94,1.5665916666666666,27.65
95,1.5832569444444446,27.7
96,1.5999222222222222,27.75
97,1.6165875,27.9
98,1.6332527777777779,28.0
99,1.6499180555555555,28.05
100,1.6665833333333333,28.1
101,1.6832486111111111,28.15
102,1.6999138888888887,28.2
103,1.7165791666666668,28.25
104,1.7332444444444446,28.4
105,1.7499097222222222,28.4
106,1.766575,28.5
107,1.7832402777777778,28.5
108,1.7999055555555554,28.6
109,1.8165708333333332,28.7
110,1.833236111111111,28.7
111,1.849901388888889,28.75
112,1.8665666666666667,28.85
113,1.8832319444444445,28.9
114,1.8998972222222223,29.0
115,1.9165625,29.05
116,1.9332277777777778,29.15
117,1.9498930555555556,29.15
118,1.9665583333333332,29.3
119,1.983223611111111,29.25
120,1.999888888888889,29.35
121,2.016554166666667,29.35
122,2.0332194444444447,29.5
123,2.049884722222222,29.55
124,2.06655,29.55
125,2.0832152777777777,29.65
126,2.0998805555555555,29.65
127,2.1165458333333333,29.75
128,2.133211111111111,29.85
129,2.149876388888889,29.9
130,2.166541666666667,29.95
131,2.1832069444444446,29.95
132,2.199872222222222,30.1
133,2.2165375,30.15
134,2.2332027777777776,30.15
135,2.2498680555555555,30.2
136,2.2665333333333333,30.25
137,2.283198611111111,30.3
138,2.299863888888889,30.35
139,2.3165291666666663,30.4
140,2.3333333333333335,30.5
141,2.35,30.6
142,2.366665277777778,30.5
143,2.3833319444444445,30.7
144,2.399998611111111,30.75
145,2.416665277777778,30.7
146,2.433331944444445,30.75
147,2.4499986111111114,30.85
148,2.466665277777778,30.95
149,2.4833319444444446,31.0
150,2.499998611111111,31.0
151,2.516665277777778,31.1
152,2.533331944444445,31.15
153,2.5499986111111115,31.1
154,2.566665277777778,31.2
155,2.5833319444444447,31.3
156,2.5999986111111113,31.35
157,2.616665277777778,31.4
158,2.6333319444444445,31.4
159,2.649998611111111,31.5
160,2.683333333333333,31.65
161,2.716666666666667,31.65
162,2.749997222222222,31.8
163,2.783329166666667,31.85
164,2.816661111111111,31.95
165,2.8499930555555557,32.05
166,2.8833249999999997,32.1
167,2.9166569444444446,32.25
168,2.9499888888888885,32.3
169,2.9833208333333334,32.4
170,3.016652777777778,32.4
171,3.0499847222222223,32.45
172,3.0833166666666667,32.65
173,3.116648611111111,32.7
174,3.1499805555555556,32.8
175,3.1833125,32.9
176,3.2166444444444444,32.95
177,3.2499763888888893,33.05
178,3.2833083333333333,33.1
179,3.316640277777778,33.1
180,3.349972222222222,33.25
181,3.383304166666667,33.35
182,3.416636111111111,33.4
183,3.4499680555555554,33.5
184,3.4833,33.5
185,3.5166319444444443,33.65
186,3.549963888888889,33.65
187,3.583295833333333,33.8
188,3.616627777777778,33.95
189,3.649959722222222,33.95
190,3.683291666666667,33.95
191,3.716623611111111,34.1
192,3.7499555555555557,34.15
