Coefficient,CP_Lower,CP_Upper,PNE_Lower,PNE_Upper
a,-1.01E-04,3.55E-05,-1.44E-05,-2.99E-05
b,-2.34E-04,6.02E-05,1.28E-05,-8.04E-06
c,0.003037,-6.03E-04,9.53E-04,8.61E-04
d,0.001803,1.30E-03,1.31E-04,-1.13E-03
e,-0.04339,-7.44E-03,-2.45E-02,-1.09E-02
f,0.1029,2.56E-02,7.57E-02,4.79E-02
g,0.9095,9.69E-01,9.21E-01,9.39E-01
