Coefficient,AR15_Upper,AR25_Upper,AR33_Upper,AR50_Upper,AR15_Lower,AR25_Lower,AR33_Lower,AR50_Lower
a,-0.00000048370000,-0.00000037960000,-0.00000021920000,-0.00000005142000,0.00000026800000,-0.00000061080000,-0.00000089840000,-0.00000008741000
b,0.00000659700000,0.00000644100000,0.00000431100000,0.00000087560000,-0.00001306000000,0.00001830000000,0.00003137000000,0.00000824300000
c,0.00006592000000,0.00004129000000,0.00002939000000,0.00003233000000,0.00018270000000,-0.00019420000000,-0.00038940000000,-0.00018350000000
d,-0.00088430000000,-0.00086870000000,-0.00073280000000,-0.00052920000000,-0.00009150000000,0.00136600000000,0.00236100000000,0.00189400000000
e,-0.00467800000000,-0.00327600000000,-0.00264700000000,-0.00279000000000,-0.01434000000000,-0.01275000000000,-0.01257000000000,-0.01375000000000
f,0.03975000000000,0.04415000000000,0.04430000000000,0.04284000000000,0.05634000000000,0.04932000000000,0.04341000000000,0.04905000000000
g,0.30180000000000,0.30710000000000,0.30760000000000,0.31440000000000,0.37220000000000,0.38630000000000,0.39280000000000,0.39970000000000
h,0.57150000000000,0.58190000000000,0.58610000000000,0.59000000000000,0.39890000000000,0.41730000000000,0.42450000000000,0.42670000000000
